complex,adjustment,param_value,time,ATP
Complex V,0,0,0,0
Complex V,0,0,9.88731394267737e-08,4.09220016753508e-07
Complex V,0,0,1.07771721975183e-07,8.17734400389018e-07
Complex V,0,0,1.16670304523593e-07,1.22552937104602e-06
Complex V,0,0,1.25568887072003e-07,3.16165395788042e-06
Complex V,0,0,1.3149690323794e-07,5.08179034604571e-06
Complex V,0,0,1.37424919403877e-07,6.98579176895312e-06
Complex V,0,0,1.4131184104122e-07,1.80545986530864e-05
Complex V,0,0,1.45198762678563e-07,2.85827074970242e-05
Complex V,0,0,1.49085684315906e-07,3.85842706236471e-05
Complex V,0,0,1.50743385006969e-07,6.73703793666921e-05
Complex V,0,0,1.52401085698032e-07,9.18226537343338e-05
Complex V,0,0,1.54058786389096e-07,0.000112406032824828
Complex V,0,0,1.55716487080159e-07,0.000129616731054127
Complex V,0,0,1.62714477828822e-07,0.000157066969393174
Complex V,0,0,1.69712468577485e-07,0.000174744888750353
Complex V,0,0,1.76710459326149e-07,0.000185468029552163
Complex V,0,0,1.99135547896264e-07,0.000191207710971367
Complex V,0,0,2.21560636466379e-07,0.000193355604803389
Complex V,0,0,2.43985725036494e-07,0.000191334399017512
Complex V,0,0,2.66410813606609e-07,0.000185245271254457
Complex V,0,0,3.12647403776984e-07,0.000177173392292485
Complex V,0,0,3.58883993947359e-07,0.00016820848039802
Complex V,0,0,4.05120584117734e-07,0.000158954523409365
Complex V,0,0,4.51357174288109e-07,0.000144330760417918
Complex V,0,0,4.97593764458484e-07,0.0001307099075263
Complex V,0,0,5.64618398960261e-07,0.000118340631481543
Complex V,0,0,6.31643033462038e-07,0.000107182503985936
Complex V,0,0,6.98667667963816e-07,9.71410444024262e-05
Complex V,0,0,7.65692302465593e-07,9.34857786551962e-05
Complex V,0,0,8.3271693696737e-07,8.99848565868175e-05
Complex V,0,0,9.02080602259131e-07,8.66338333653802e-05
Complex V,0,0,9.71444267550891e-07,8.56569881426531e-05
Complex V,0,0,1.04080793284265e-06,8.46929222279985e-05
Complex V,0,0,1.11017159813441e-06,8.37414651400259e-05
Complex V,0,0,1.17953526342617e-06,8.28024627156968e-05
Complex V,0,0,1.29275055143368e-06,8.18757612436509e-05
Complex V,0,0,1.40596583944119e-06,8.06363029634809e-05
Complex V,0,0,1.5191811274487e-06,7.941885352087e-05
Complex V,0,0,1.63239641545621e-06,7.82230394937096e-05
Complex V,0,0,1.74561170346373e-06,7.7048484826026e-05
Complex V,0,0,1.99146385372603e-06,7.52217302081638e-05
