complex,adjustment,param_value,time,ATP
Complex I,0,0,0,0
Complex I,0,0,9.88731394267737e-08,1.3593344159552e-06
Complex I,0,0,1.07771721975183e-07,1.4815246244416e-06
Complex I,0,0,1.16670304523593e-07,1.60363669135922e-06
Complex I,0,0,1.25568887072003e-07,1.72568184478321e-06
Complex I,0,0,1.3149690323794e-07,1.80744002212862e-06
Complex I,0,0,1.37424919403877e-07,1.88916871519427e-06
Complex I,0,0,1.4131184104122e-07,1.9136837324209e-06
Complex I,0,0,1.45198762678563e-07,1.93819597951621e-06
Complex I,0,0,1.49085684315906e-07,1.96270558479916e-06
Complex I,0,0,1.50743385006969e-07,2.01162440956668e-06
Complex I,0,0,1.52401085698032e-07,2.02629818975937e-06
Complex I,0,0,1.54058786389096e-07,2.04097105572457e-06
Complex I,0,0,1.55716487080159e-07,2.0556429886879e-06
Complex I,0,0,1.62714477828822e-07,2.07031398345709e-06
Complex I,0,0,1.69712468577485e-07,2.08533443197744e-06
Complex I,0,0,1.76710459326149e-07,2.10035389640161e-06
Complex I,0,0,1.99135547896264e-07,2.11254405379171e-06
Complex I,0,0,2.21560636466379e-07,2.12473356319839e-06
Complex I,0,0,2.43985725036494e-07,2.13692242459375e-06
Complex I,0,0,2.66410813606609e-07,2.14911063797164e-06
Complex I,0,0,3.12647403776984e-07,2.16129820335716e-06
Complex I,0,0,3.58883993947359e-07,2.17854234856208e-06
Complex I,0,0,4.05120584117734e-07,2.19578519653316e-06
Complex I,0,0,4.51357174288109e-07,2.21302674735674e-06
Complex I,0,0,4.97593764458484e-07,2.23026700112023e-06
Complex I,0,0,5.64618398960261e-07,2.25498102846279e-06
Complex I,0,0,6.31643033462038e-07,2.27969239036359e-06
Complex I,0,0,6.98667667963816e-07,2.30440108708722e-06
Complex I,0,0,7.65692302465593e-07,2.32910711889558e-06
Complex I,0,0,8.3271693696737e-07,2.3538104860478e-06
Complex I,0,0,9.02080602259131e-07,2.40208535079068e-06
Complex I,0,0,9.71444267550891e-07,2.45035003934983e-06
Complex I,0,0,1.04080793284265e-06,2.4986045536557e-06
Complex I,0,0,1.11017159813441e-06,2.54684889563871e-06
Complex I,0,0,1.17953526342617e-06,2.59508306722897e-06
Complex I,0,0,1.29275055143368e-06,2.69254874735888e-06
Complex I,0,0,1.40596583944119e-06,2.78997289775196e-06
Complex I,0,0,1.5191811274487e-06,2.88735553433421e-06
Complex I,0,0,1.63239641545621e-06,2.98469667302534e-06
Complex I,0,0,1.74561170346373e-06,3.08199632973899e-06
Complex I,0,0,1.99146385372603e-06,3.29737368602024e-06
Complex I,0,0,2.23731600398833e-06,3.51254776140984e-06
Complex I,0,0,2.48316815425064e-06,3.72751872855307e-06
Complex I,0,0,2.72902030451294e-06,3.94228675994448e-06
Complex I,0,0,2.97487245477525e-06,4.15685202793162e-06
Complex I,0,0,3.47955056656131e-06,4.95713998411578e-06
Complex I,0,0,3.98422867834737e-06,5.5885828994265e-06
Complex I,0,0,4.48890679013343e-06,6.2182621977804e-06
Complex I,0,0,4.99358490191949e-06,6.84618234609372e-06
Complex I,0,0,5.49826301370555e-06,7.47234777546508e-06
Complex I,0,0,6.82678126756533e-06,8.67682503826676e-06
Complex I,0,0,8.15529952142512e-06,9.87480454120618e-06
Complex I,0,0,9.48381777528491e-06,1.10663172030014e-05
Complex I,0,0,1.08123360291447e-05,1.22513944201363e-05
Complex I,0,0,1.21408542830045e-05,1.47528307130574e-05
Complex I,0,0,1.61119667558821e-05,1.72255490634121e-05
Complex I,0,0,1.73033004977454e-05,1.96698388792686e-05
Complex I,0,0,1.84946342396087e-05,2.20859932799922e-05
Complex I,0,0,1.9685967981472e-05,2.51057557740032e-05
Complex I,0,0,2.0043368104031e-05,2.80814222266818e-05
Complex I,0,0,2.040076822659e-05,3.10135840443356e-05
Complex I,0,0,2.06795158182553e-05,3.18848367218186e-05
Complex I,0,0,2.07631400957549e-05,3.27522411025065e-05
Complex I,0,0,2.08467643732544e-05,3.36158120790213e-05
Complex I,0,0,2.0930388650754e-05,3.44755646704579e-05
Complex I,0,0,2.09554759340039e-05,3.47327481117054e-05
Complex I,0,0,2.09805632172538e-05,3.49895896580762e-05
Complex I,0,0,2.10056505005037e-05,3.52460897116026e-05
Complex I,0,0,2.10131766854786e-05,3.55022486741354e-05
Complex I,0,0,2.10207028704536e-05,3.55790299102473e-05
Complex I,0,0,2.10282290554286e-05,3.56557804952264e-05
Complex I,0,0,2.1030486910921e-05,3.56787996953738e-05
Complex I,0,0,2.10327447664135e-05,3.57018161381896e-05
